id,nome,designer,azienda,anno,categoria,foto_originale,filename_finale,original_downloaded,final_standardized,image_downloaded,image_url,source_page,source_domain,query_usata,confidence,motivo,background_standardized,padding_standardized,final_canvas_size,status
,Apparecchio automatico per microfilm,Rodolfo Bonetto,BCM,1970,apparecchio per microfilm,bonetto-apparecchio-microfilm.jpg,bonetto-apparecchio-microfilm.jpg,False,False,False,,,,"""Apparecchio automatico per microfilm"" ""Rodolfo Bonetto""",da_verificare,nessun candidato nuovo dalla ricerca dopo 3 tentativi (gli altri erano gia' in scarti o bocciati),False,False,1600x1600,not_found
,Souvenir ligure,Ugo La Pietra,Ernan,2006,salvadanaio,lapietra-souvenir-ligure.jpg,lapietra-souvenir-ligure.jpg,False,False,False,,,,"""Souvenir ligure"" ""Ugo La Pietra""",da_verificare,nessun candidato nuovo dalla ricerca dopo 3 tentativi (gli altri erano gia' in scarti o bocciati),False,False,1600x1600,not_found
,L'Angoliera,Alessandro Mendini,Studio Alchimia,1981,mobile contenitore,mendini-l-angoliera.jpg,mendini-l-angoliera.jpg,False,False,False,,,,"""L'Angoliera"" ""Alessandro Mendini""",,nessun candidato scaricabile dopo 1 tentativi e filtri scarti/download; controlla _pipeline/log_errors.txt,False,False,1600x1600,download_failed
,Dealbata 9552,Alessandro Mendini,Zanotta,1986,vaso,mendini-dealbata-9552.jpg,mendini-dealbata-9552.jpg,False,True,True,https://www.zanotta.com/ContentsFiles/9552-Dealbata_gallery_01.jpg,https://www.zanotta.com/it/prodotti/complementi-d-arredo/dealbata-9552,zanotta.com,"""Dealbata 9552"" ""Alessandro Mendini""",review_flat,"salvati 1 candidati filtrati direttamente in _pipeline/review_images come mendini-dealbata-9552.jpg, mendini-dealbata-95522.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-dealbata-9552.jpg",True,True,1600x1600,review_needed
,Hispo,Alessandro Mendini,Zanotta,1986,tavolino portafiori,mendini-hispo.jpg,mendini-hispo.jpg,False,True,True,https://www.zanotta.com/ContentsFiles/1_PNG_HISPO.png,https://www.zanotta.com/it/prodotti/edizioni/hispo,zanotta.com,"""Hispo"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-hispo.jpg, mendini-hispo2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-hispo.jpg",True,True,1600x1600,review_needed
,Mikiolone,Alessandro Mendini,Zanotta,1986,mobile bar,mendini-mikiolone.jpg,mendini-mikiolone.jpg,False,True,True,https://www.zanotta.com/ContentsFiles/zanotta_7521_mikiolone_gallery_1_zoom(0).jpg,https://www.zanotta.com/it/prodotti/edizioni/mikiolone,zanotta.com,"""Mikiolone"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-mikiolone.jpg, mendini-mikiolone2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-mikiolone.jpg",True,True,1600x1600,review_needed
,Sirfo,Alessandro Mendini,Zanotta,1986,tavolino,mendini-sirfo.jpg,mendini-sirfo.jpg,False,True,True,https://www.arsvalue.com/Upl/Auctions/124/258/23191/929-0.jpg,https://www.arsvalue.com/it/lotti/23191/mendini-alessandro-sirfo-tavolino-papera-in-fusione-di-alluminio-sabbiato-e,arsvalue.com,"""Sirfo"" ""Alessandro Mendini""",review_flat,"salvati 1 candidati filtrati direttamente in _pipeline/review_images come mendini-sirfo.jpg, mendini-sirfo2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-sirfo.jpg",True,True,1600x1600,review_needed
,Arado,Alessandro Mendini,Venini,1988,vaso-scultura,mendini-arado.jpg,mendini-arado.jpg,False,True,True,https://www.intondo.com/media/mounted_nas/app-models-product/2024/1244007/conversions/intondo-arado-vase-in-murano-glass-by-alessandro-mendini-for-venini-1988-13-large.webp,https://www.intondo.com/it/products/85374/decor/vasi/vaso-arado-in-vetro-di-murano-di-alessandro-mendini-per-venini-1988,intondo.com,"""Arado"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-arado.jpg, mendini-arado2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-arado.jpg",True,True,1600x1600,review_needed
,Berito,Alessandro Mendini,Venini,1988,vaso-scultura,mendini-berito.jpg,mendini-berito.jpg,False,True,True,https://media.mutualart.com/Images//2024_10/27/08/77442240/alessandro-mendini-alessandro-mendini-CWXXM.Jpeg,https://www.mutualart.com/Artwork/Una-bottiglia-della-serie--Berito--in-cr/5BD72B6E06CD10C375FE660F04457BD5,mutualart.com,"""Berito"" ""Alessandro Mendini""",review_flat,"salvati 1 candidati filtrati direttamente in _pipeline/review_images come mendini-berito.jpg, mendini-berito2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-berito.jpg",True,True,1600x1600,review_needed
,Acco,Alessandro Mendini,Venini,1989,vaso,mendini-acco.jpg,mendini-acco.jpg,False,True,True,https://api.maisonbibelot.com/api/lotto/immagine/167035.jpg,https://www.maisonbibelot.com/it/asta-0300/un-vasetto-acco-alessandro-mendini-per-venini-167035,maisonbibelot.com,"""Acco"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-acco.jpg, mendini-acco2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-acco.jpg",True,True,1600x1600,review_needed
,Onda,Alessandro Mendini,Glas Italia,1990,specchio,mendini-onda.jpg,mendini-onda.jpg,False,True,True,https://img.edilportale.com/product-thumbs/h_ONDA-GLAS-ITALIA-318470-rel69e92efa.jpg,https://www.archiproducts.com/it/prodotti/glas-italia/specchio-rettangolare-da-parete-onda_318470?srsltid=AfmBOoqAUh-tZvZa7EzbDiXltuhAYaKL2eLB_cmUyRKEi5ZnydNZS6p3,archiproducts.com,"""Onda"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-onda.jpg, mendini-onda2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-onda.jpg",True,True,1600x1600,review_needed
,Lesena,Alessandro Mendini,Glas Italia,1990,specchio,mendini-lesena.jpg,mendini-lesena.jpg,False,True,True,https://www.idainterni.com/961-medium_default/specchio-lesena-glas.jpg,https://www.idainterni.com/specchio-lesena-glas/?srsltid=AfmBOoqDYE-h2d05H8Q_Pr4UclX13yqTZ7i7GdmRepK4GKMS62lNv4rO,idainterni.com,"""Lesena"" ""Alessandro Mendini""",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come mendini-lesena.jpg, mendini-lesena2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo mendini-lesena.jpg",True,True,1600x1600,review_needed
