n,file,score,confidence,query,serp_position,source_domain,source_page,image_url,title,source_size,output_size,kb,quality_note,orig_file
1,parisi-pa-1947__01.jpg,85.0,alta,Parisi PA' 1947,3,artemest.com,https://artemest.com/it-it/products/pa-1947-di-ico-parisi,https://cdn.shopify.com/s/files/1/0653/7697/7075/files/wn3qhxvm2hes94oc7yle6ahhzb38.jpg?v=1747398753,Pa' 1947 di Ico Parisi Cassina | Artemest,1400x1400,1600x1600,318.9,"sorgente 1400x1400, 121.4KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1400x1400; niente scontorno/crop",
2,parisi-pa-1947__02.jpg,160.6,alta,Parisi PA' 1947,5,cassina.com,https://www.cassina.com/it/it/prodotti/pa-1947.html?srsltid=AfmBOoql7MtGNJqfxwEMiHsBiTEAy2fch1wWF7rsm0VRC5kMEmMKsZhv,https://www.cassina.com/content/dam/ld/cassina/products/p/a/-/816-pa-1947/06_caratteristiche/01_caratteristiche-816-pa-1947.jpg/jcr:content/renditions/cq5dam.thumbnail.1500.1500.jpg,PA' 1947 - Ico Parisi,1500x877,1600x1600,275.4,"sorgente 1500x877, 58.1KB; sfondo chiaro pulito ai bordi (91%); q=96; immagine preservata intera: sorgente 1500x877; niente scontorno/crop",
1,parisi-856-poltrona__01.jpg,69.0,alta,Parisi 856,8,cambiaste.com,https://www.cambiaste.com/it/asta-0833/ico-parisi-coppia-di-poltrone-mod-856-277431,https://imageapi.cambiaste.com/api/lotto/immagine/277431.jpg,Ico Parisi : Coppia di poltrone mod. 856 - Asta Design200 - Cambi Casa  d'Aste,4000x3813,1600x1600,360.4,"sorgente 4000x3813, 923.2KB; sfondo chiaro pulito ai bordi (94%); q=96; immagine preservata intera: sorgente 4000x3813; niente scontorno/crop",
1,bellini-duc-duc__01.jpg,89.4,alta,Bellini Duc-Duc,1,bellini.it,https://bellini.it/portfolio-articoli/duc-duc/,https://bellini.it/wp-content/uploads/2021/07/2020_DUC-DUC-by-Cassina_slide-1.jpg,DUC DUC – Mario Bellini Architects,1920x953,1600x1600,247.6,"sorgente 1920x953, 185.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1920x953; niente scontorno/crop",
1,bellini-la-basilica__01.jpg,167.4,alta,Bellini La Basilica,1,cassina.com,https://www.cassina.com/it/it/prodotti/la-basilica.html?srsltid=AfmBOorhrrEDx1SudDQPgsGwjwDJ3AajtGhmf-ctFDH7niTjqaoMB2AS,https://www.cassina.com/content/dam/ld/cassina/products/l/a/-/451-la-basilica/14_plp/plp-la-basilica-resize.jpg,"Tavolo La Basilica Cassina, Mario Bellini - Tavolo Cassina anni '70",1664x832,1600x1600,143.0,"sorgente 1664x832, 119.9KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1664x832; niente scontorno/crop",
1,borsani-p72__01.jpg,69.4,alta,Borsani P72,6,mutualart.com,https://www.mutualart.com/Artwork/Fauteuil-mod--P72/4C4B15CE3AE2C37AE867A0C337EBAD63,https://media.mutualart.com/Images//2022_11/23/11/110746673/osvaldo-borsani-fauteuil-mod--p72--creat-OM8G5.Jpeg,Osvaldo Borsani | Fauteuil mod. P72 (Circa 1955) | MutualArt,2168x2880,1600x1600,371.5,"sorgente 2168x2880, 1370.6KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 2168x2880; niente scontorno/crop",
1,borsani-t96__01.jpg,74.6,alta,Borsani T96,5,visconteacasadaste.com,https://www.visconteacasadaste.com/it/asta-0095/borsani-osvaldo-osvaldo-borsani-scrivania-t96-boomerang-per-tecno-41236,https://api.visconteacasadaste.com/api/lotto/immagine/41236/1.jpg,"OSVALDO BORSANI : Scrivania T96 "" Boomerang"" per TECNO - Asta MILANO DECOR  - Antiques, Fine Art, Wine & Design Auction - Viscontea Casa d'Aste",4000x2667,1600x1600,243.7,"sorgente 4000x2667, 602.2KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 4000x2667; niente scontorno/crop",
2,borsani-t96__02.jpg,77.4,alta,Borsani T96,11,intondo.com,https://www.intondo.com/it/products/7476/mobili/scrivanie/scrivania-modello-boomerang-t96-di-osvaldo-borsani-per-tecno,https://www.intondo.com/media/mounted_nas/app-models-product/2020/70761/intondo-desk-model-boomerang-t96-by-osvaldo-borsani-for-tecno-1115905.jpg,Scrivania modello Boomerang T96 di Osvaldo Borsani per Tecno,6000x4000,1600x1600,213.5,"sorgente 6000x4000, 325.2KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 6000x4000; niente scontorno/crop",
3,borsani-t96__03.jpg,63.8,alta,Borsani T96,17,visconteacasadaste.com,https://www.visconteacasadaste.com/it/asta-0095/borsani-osvaldo-osvaldo-borsani-scrivania-t96-boomerang-per-tecno-41236,https://api.visconteacasadaste.com/api/lotto/immagine/41236/3.jpg,"OSVALDO BORSANI : Scrivania T96 "" Boomerang"" per TECNO - Asta MILANO DECOR  - Antiques, Fine Art, Wine & Design Auction - Viscontea Casa d'Aste",4000x2667,1600x1600,290.1,"sorgente 4000x2667, 673.0KB; sfondo chiaro pulito ai bordi (92%); q=96; immagine preservata intera: sorgente 4000x2667; niente scontorno/crop",
1,borsani-l75__01.jpg,67.8,alta,Borsani L75,9,archivio.dimanoinmano.it,https://archivio.dimanoinmano.it/it/cp315976/modernariato/mobilio/letti-l75-di-osvaldo-borsani-per-tecno-anni-60,https://archivio.dimanoinmano.it/img/1145645/full/modernariato/mobilio/letti-l75-di-osvaldo-borsani-per-tecno-anni-60.jpg,Coppia di Letti Vintage Tecno L75 O. Borsani Legno Laccato Anni 60,1536x1536,1600x1600,323.1,"sorgente 1536x1536, 680.0KB; sfondo chiaro pulito ai bordi (100%); q=96; immagine preservata intera: sorgente 1536x1536; niente scontorno/crop",
