id,nome,designer,azienda,anno,categoria,foto_originale,filename_finale,original_downloaded,final_standardized,image_downloaded,image_url,source_page,source_domain,query_usata,confidence,motivo,background_standardized,padding_standardized,final_canvas_size,status
,Apparecchio automatico per microfilm,Rodolfo Bonetto,BCM,1970,apparecchio per microfilm,bonetto-apparecchio-microfilm.jpg,bonetto-apparecchio-microfilm.jpg,False,False,False,,,,Bonetto Apparecchio automatico per microfilm,da_verificare,nessun candidato nuovo dalla ricerca,False,False,1600x1600,not_found
,Tazzine neoeclettiche,Ugo La Pietra,Eschenbach,1998,servizio di tazzine,lapietra-tazzine-neoeclettiche.jpg,lapietra-tazzine-neoeclettiche.jpg,False,True,True,https://cdn20.pamono.com/p/g/2/4/2418762_8ykqyp60qj/tazze-e-piattini-in-porcellana-di-eschenbach-germania-set-di-11-immagine-2.jpg,https://www.pamono.it/tazze-e-piattini-in-porcellana-di-eschenbach-germania-set-di-11?srsltid=AfmBOooYKf87BCJK5MYlaFF1FhuZ32RMWcZmnaseuzphD5Pr4NYWN5a0,pamono.it,Tazzine neoeclettiche Eschenbach,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-tazzine-neoeclettiche.jpg, lapietra-tazzine-neoeclettiche2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-tazzine-neoeclettiche.jpg",True,True,1600x1600,review_needed
,Mosaico di Spilimbergo,Ugo La Pietra,Giovanni Travisanutto,1998,colonne in mosaico,lapietra-mosaico-di-spilimbergo.jpg,lapietra-mosaico-di-spilimbergo.jpg,False,True,True,https://res.cloudinary.com/billionhands/image/upload/v1770833455/items/m1gnors9ej2v0bbxxsb5.png,https://spora.social/,spora.social,"""Mosaico di Spilimbergo"" ""Pietra""",review_flat,"salvati 1 candidati filtrati direttamente in _pipeline/review_images come lapietra-mosaico-di-spilimbergo.jpg, lapietra-mosaico-di-spilimbergo2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-mosaico-di-spilimbergo.jpg",True,True,1600x1600,review_needed
,Marmo di Carrara,Ugo La Pietra,AMA,1999,collezione di vasi,lapietra-marmo-di-carrara.jpg,lapietra-marmo-di-carrara.jpg,False,True,True,https://www.pietreditrani.it/image/cache/catalog/prodotti/cubetti-in-pietra-di-trani/Cubetti_in_Marmo_di_Carrara-900x600.jpg,https://www.pietreditrani.it/cubetti-in-marmo-di-carrara?srsltid=AfmBOopMoLq5jLfm8NFoAvUfXlucmomVYLrPK01NfN35kTKjUshxdheu,pietreditrani.it,Pietra Marmo di Carrara,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-marmo-di-carrara.jpg, lapietra-marmo-di-carrara2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-marmo-di-carrara.jpg",True,True,1600x1600,review_needed
,Pietra leccese,Ugo La Pietra,Marrocco,1999,contenitori,lapietra-pietra-leccese.jpg,lapietra-pietra-leccese.jpg,False,True,True,https://www.pietreditrani.it/image/catalog/prodotti/pietra-leccese-carparo/Pietra_Carparo_Leccese.jpg,https://www.pietreditrani.it/pietra-naturale-leccese-carparo?srsltid=AfmBOopT5gtfrPsy4RYfhzWWdH2Z-YD4_3uFTI4Y3ONzAxnefiESk-9F,pietreditrani.it,Pietra Pietra leccese,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-pietra-leccese.jpg, lapietra-pietra-leccese2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-pietra-leccese.jpg",True,True,1600x1600,review_needed
,Ceramica di Este,Ugo La Pietra,Este Ceramiche e Porcellane,2001,vassoio,lapietra-ceramica-di-este.jpg,lapietra-ceramica-di-este.jpg,False,True,True,https://cdn20.pamono.com/p/g/1/7/1784754_pm09i0hild/scatola-o-portasapone-in-ceramica-bianca-di-sc-richard-immagine-4.jpg,https://www.pamono.it/scatola-o-portasapone-in-ceramica-bianca-di-sc-richard?srsltid=AfmBOordmc861KbPfNLKnCPAUVZqSwIRk-aGCtZjM5elz6-zelg35Lyl,pamono.it,"""Ceramica di Este"" vassoio product photo white background",review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-ceramica-di-este.jpg, lapietra-ceramica-di-este2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-ceramica-di-este.jpg",True,True,1600x1600,review_needed
,Aurelia,Ugo La Pietra,Morelato,2002,poltrona,lapietra-aurelia.jpg,lapietra-aurelia.jpg,False,True,True,https://www.ceramicheminori.com/immagini_articoli/162/offerta-pietra-di-lecce-ermes-aurelia-5688-600.jpg,https://www.ceramicheminori.com/it/prodotti/162/offerta-pietra-di-lecce-ermes-aurelia,ceramicheminori.com,Pietra Aurelia,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-aurelia.jpg, lapietra-aurelia2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-aurelia.jpg",True,True,1600x1600,review_needed
,Vetro di Murano,Ugo La Pietra,Simone Cenedese,2003,coppa,lapietra-vetro-di-murano.jpg,lapietra-vetro-di-murano.jpg,False,True,True,https://www.muranonet.com/cdn/shop/files/murano-glass-sculpture-contemporary-art-sky-sea-alberto-dona-romano-blue-aquamarine-stone-4_11zon.jpg?v=1711796190&width=1500,https://www.muranonet.com/it/products/copia-del-colourful-sphere?srsltid=AfmBOoroPr5PtxwP4-xIVl769tC6eqWIXygWa15lVCQsv-FM6UtenRV5,muranonet.com,Pietra Vetro di Murano,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-vetro-di-murano.jpg, lapietra-vetro-di-murano2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-vetro-di-murano.jpg",True,True,1600x1600,review_needed
,Rame smaltato,Ugo La Pietra,Rosanna Migliore,2003,posacenere,lapietra-rame-smaltato.jpg,lapietra-rame-smaltato.jpg,False,True,True,https://www.intondo.com/media/mounted_nas/app-models-product/2024/1311676/conversions/f7e89a9f-f23c-4a1e-8fc2-48f7cfd55539-large.webp,https://www.intondo.com/it/products/89369/decor/oggetti-decorativi/piatto-in-rame-smaltato-anni-60,intondo.com,Pietra Rame smaltato,review_flat,"salvati 2 candidati filtrati direttamente in _pipeline/review_images come lapietra-rame-smaltato.jpg, lapietra-rame-smaltato2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-rame-smaltato.jpg",True,True,1600x1600,review_needed
,Souvenir ligure,Ugo La Pietra,Ernan,2006,salvadanaio,lapietra-souvenir-ligure.jpg,lapietra-souvenir-ligure.jpg,False,False,False,,,,"""Souvenir ligure"" official product image",,nessun candidato scaricabile dopo filtri scarti/download; controlla _pipeline/log_errors.txt,False,False,1600x1600,download_failed
,Europa unita,Ugo La Pietra,Fratelli Boffi,2009,mobile bar,lapietra-europa-unita-mobile-bar.jpg,lapietra-europa-unita-mobile-bar.jpg,False,True,True,https://www.passiglieditori.it/wp-content/uploads/2025/03/cover_9788836813858__id384_w1024_t1691752632__1x.jpg,https://www.passiglieditori.it/libro/prove-di-europa-unita/,passiglieditori.it,Pietra Europa unita,review_flat,"salvati 1 candidati filtrati direttamente in _pipeline/review_images come lapietra-europa-unita-mobile-bar.jpg, lapietra-europa-unita-mobile-bar2.jpg, ecc.; scegli quello giusto e spostalo/rinominalo lapietra-europa-unita-mobile-bar.jpg",True,True,1600x1600,review_needed
